***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "18-07-09-03-12-2017"
}
---SESSION HEADER---
Time; Position; Rotation.X; Rotation.Y; Rotation.Virtualizer; Rotation.Controller.x; Rotation.Controller.y; Height.Virtualizer; FPS; Input;
65231.7098;(-15.8044, 2.5100, -33.4400);284.5563;354.4529;264.3750;287.8362;353.3268;17.5260;89.5449;;
65231.7208;(-15.8044, 2.5100, -33.4400);284.5430;354.4487;264.3750;287.8328;353.3258;17.5260;89.3924;;
65231.7318;(-15.8044, 2.5100, -33.4400);284.5496;354.4416;264.3750;287.8307;353.3203;17.5260;89.4028;;
65231.7428;(-15.8044, 2.5100, -33.4400);284.5228;354.4224;264.3750;287.8354;353.3250;17.5260;89.4689;;
65231.7543;(-15.8044, 2.5100, -33.4400);284.5100;354.4356;264.3750;287.8485;353.3304;17.5260;89.5946;;
65231.7653;(-15.8044, 2.5100, -33.4400);284.4901;354.4278;264.3750;287.8565;353.3292;17.5260;89.4669;;
65231.7768;(-15.8044, 2.5100, -33.4400);284.4930;354.4344;264.3750;287.8660;353.3242;17.5260;89.4743;;
65231.7878;(-15.8044, 2.5100, -33.4400);284.4922;354.4401;264.3750;287.8783;353.3274;17.5260;89.4349;;
65231.7988;(-15.8044, 2.5100, -33.4400);284.4903;354.4459;264.3750;287.8894;353.3221;17.5260;89.3934;;
65231.8104;(-15.8044, 2.5100, -33.4400);284.4896;354.4554;264.3750;287.9078;353.3209;17.5260;89.5190;;
65231.8214;(-15.8044, 2.5100, -33.4400);284.5017;354.4584;264.3750;287.9201;353.3233;17.5260;89.5245;;
65231.8324;(-15.8044, 2.5100, -33.4400);284.5082;354.4656;264.3750;287.9211;353.3156;17.5260;89.4972;;
65231.8438;(-15.8044, 2.5100, -33.4400);284.5363;354.4736;264.3750;287.9243;353.3084;17.5260;89.5506;;
65231.8553;(-15.8044, 2.5100, -33.4400);284.5413;354.4790;264.3750;287.9310;353.3037;17.5260;89.4609;;
65231.8663;(-15.8044, 2.5100, -33.4400);284.5569;354.4866;264.3750;287.9373;353.3007;17.5260;89.3293;;
65231.8773;(-15.8044, 2.5100, -33.4400);284.5552;354.4830;264.3750;287.9424;353.3056;17.5260;89.5230;;
65231.8883;(-15.8044, 2.5100, -33.4400);284.5606;354.4793;264.3750;287.9474;353.3073;17.5260;89.4824;;
65231.8994;(-15.8044, 2.5100, -33.4400);284.5511;354.4864;264.3750;287.9497;353.3055;17.5260;89.5578;;
65231.9109;(-15.8044, 2.5100, -33.4400);284.5657;354.4835;264.3750;287.9480;353.2937;17.5260;89.5371;;
65231.9219;(-15.8044, 2.5100, -33.4400);284.5621;354.4785;264.3750;287.9514;353.2762;17.5260;89.6111;;
65231.9329;(-15.8044, 2.5100, -33.4400);284.5721;354.4846;264.3750;287.9547;353.2659;17.5260;89.4814;;
65231.9443;(-15.8044, 2.5100, -33.4400);284.5649;354.5009;264.3750;287.9613;353.2693;17.5260;89.5526;;
65231.9553;(-15.8044, 2.5100, -33.4400);284.5442;354.5243;264.3750;287.9658;353.2812;17.5260;89.3390;;
65231.9673;(-15.8044, 2.5100, -33.4400);284.5394;354.5417;264.3750;287.9776;353.2840;17.5260;89.4911;;
65231.9778;(-15.8044, 2.5100, -33.4400);284.5201;354.5710;264.3750;287.9902;353.2651;17.5260;89.1279;;
65231.9888;(-15.8044, 2.5100, -33.4400);284.4934;354.6059;264.3750;288.0002;353.2518;17.5260;89.6342;;
65232.0004;(-15.8044, 2.5100, -33.4400);284.4827;354.6349;264.3750;288.0196;353.2427;17.5260;89.5733;;
65232.0114;(-15.8044, 2.5100, -33.4400);284.4737;354.6511;264.3750;288.0428;353.2212;17.5260;89.5309;;
65232.0229;(-15.8044, 2.5100, -33.4400);284.4636;354.6577;264.3750;288.0524;353.2263;17.5260;89.5275;;
65232.0334;(-15.8044, 2.5100, -33.4400);284.4691;354.6636;264.3750;288.0503;353.2274;17.5260;89.3735;;
65232.0449;(-15.8044, 2.5100, -33.4400);284.4713;354.6628;264.3750;288.0483;353.2323;17.5260;89.6776;;
65232.0559;(-15.8044, 2.5100, -33.4400);284.4645;354.6568;264.3750;288.0443;353.2253;17.5260;89.5714;;
65232.0669;(-15.8044, 2.5100, -33.4400);284.4703;354.6530;264.3750;288.0363;353.2177;17.5260;89.5466;;
65232.0784;(-15.8044, 2.5100, -33.4400);284.4690;354.6498;264.3750;288.0339;353.2099;17.5260;89.6097;;
65232.0900;(-15.8044, 2.5100, -33.4400);284.4654;354.6637;264.3750;288.0426;353.2036;17.5260;89.5742;;
65232.1010;(-15.8044, 2.5100, -33.4400);284.4852;354.6777;264.3750;288.0379;353.2003;17.5260;89.3593;;
65232.1120;(-15.8044, 2.5100, -33.4400);284.4787;354.6916;264.3750;288.0448;353.2148;17.5260;89.4591;;
65232.1235;(-15.8044, 2.5100, -33.4400);284.4751;354.7147;264.3750;288.0551;353.2177;17.5260;89.5079;;
65232.1340;(-15.8044, 2.5100, -33.4400);284.4793;354.7223;264.3750;288.0657;353.2196;17.5260;89.3220;;
65232.1455;(-15.8044, 2.5100, -33.4400);284.4799;354.7190;264.3750;288.0766;353.2124;17.5260;89.6321;;
65232.1566;(-15.8044, 2.5100, -33.4400);284.4684;354.7172;264.3750;288.0758;353.2136;17.5260;89.4406;;
65232.1681;(-15.8044, 2.5100, -33.4400);284.4818;354.7227;264.3750;288.0836;353.2133;17.5260;89.5320;;
65232.1791;(-15.8044, 2.5100, -33.4400);284.5024;354.7286;264.3750;288.0884;353.2178;17.5260;89.5200;;
65232.1901;(-15.8044, 2.5100, -33.4400);284.5070;354.7233;264.3750;288.0782;353.2185;17.5260;89.4110;;
65232.2011;(-15.8044, 2.5100, -33.4400);284.5275;354.7086;264.3750;288.0787;353.2258;17.5260;89.5111;;
65232.2127;(-15.8044, 2.5100, -33.4400);284.5349;354.7066;264.3750;288.0868;353.2236;17.5260;89.5580;;
65232.2237;(-15.8044, 2.5100, -33.4400);284.5505;354.6907;264.3750;288.0876;353.2242;17.5260;89.4928;;
65232.2347;(-15.8044, 2.5100, -33.4400);284.5667;354.6905;264.3750;288.0978;353.2192;17.5260;89.4555;;
65232.2457;(-15.8044, 2.5100, -33.4400);284.5790;354.6795;264.3750;288.1046;353.2225;17.5260;89.7039;;
65232.2572;(-15.8044, 2.5100, -33.4400);284.6016;354.6828;264.3750;288.1185;353.2244;17.5260;89.5957;;
65232.2683;(-15.8044, 2.5100, -33.4400);284.6093;354.6866;264.3750;288.1284;353.2301;17.5260;89.3944;;
65232.2793;(-15.8044, 2.5100, -33.4400);284.6163;354.6896;264.3750;288.1319;353.2296;17.5260;89.5945;;
65232.2903;(-15.8044, 2.5100, -33.4400);284.6281;354.7039;264.3750;288.1244;353.2240;17.5260;89.5530;;
65232.3018;(-15.8044, 2.5100, -33.4400);284.6299;354.7098;264.3750;288.1146;353.2207;17.5260;89.6486;;
65232.3128;(-15.8044, 2.5100, -33.4400);284.6421;354.7047;264.3750;288.1081;353.2044;17.5260;89.6652;;
65232.3243;(-15.8044, 2.5100, -33.4400);284.6452;354.7079;264.3750;288.0949;353.2002;17.5260;89.4592;;
65232.3348;(-15.8044, 2.5100, -33.4400);284.6425;354.7145;264.3750;288.0907;353.1974;17.5260;89.4654;;
65232.3463;(-15.8044, 2.5100, -33.4400);284.6328;354.7223;264.3750;288.0974;353.1990;17.5260;89.6993;;
65232.3574;(-15.8044, 2.5100, -33.4400);284.6340;354.7297;264.3750;288.1108;353.1955;17.5260;89.5820;;
65232.3689;(-15.8044, 2.5100, -33.4400);284.6216;354.7431;264.3750;288.1248;353.1945;17.5260;89.6099;;
65232.3799;(-15.8044, 2.5100, -33.4400);284.6177;354.7409;264.3750;288.1232;353.1859;17.5260;89.6303;;
65232.3909;(-15.8044, 2.5100, -33.4400);284.6102;354.7524;264.3750;288.1307;353.1760;17.5260;89.5806;;
65232.4024;(-15.8044, 2.5100, -33.4400);284.6140;354.7533;264.3750;288.1304;353.1689;17.5260;89.5159;;
65232.4140;(-15.8044, 2.5100, -33.4400);284.6000;354.7611;264.3750;288.1198;353.1718;17.5260;89.5687;;
65232.4250;(-15.8044, 2.5100, -33.4400);284.5997;354.7473;264.3750;288.1149;353.1753;17.5260;89.2400;;
65232.4355;(-15.8044, 2.5100, -33.4400);284.6050;354.7342;264.3750;288.1129;353.1733;17.5260;89.3816;;
